Organism,Status,Island,Interac
Ant,Introduced,Fernandina,0
Ant,Introduced,Fernandina,0
Ant,Introduced,Fernandina,0
Ant,Introduced,Fernandina,0
Ant,Introduced,Fernandina,0
Ant,Introduced,Fernandina,0
Ant,Introduced,Fernandina,0
Ant,Introduced,Fernandina,0
Ant,Introduced,Fernandina,2
Ant,Introduced,Fernandina,5
Ant,Introduced,Fernandina,2
Ant,Introduced,Fernandina,0
Ant,Introduced,Fernandina,0
Ant,Introduced,Fernandina,0
Ant,Endemic,Fernandina,1
Ant,Endemic,Fernandina,65
Ant,Endemic,Fernandina,1
Ant,Introduced,Pinta,0
Ant,Introduced,Pinta,4
Ant,Introduced,Pinta,0
Ant,Introduced,Pinta,0
Ant,Introduced,Pinta,0
Ant,Introduced,Pinta,57
Ant,Introduced,Pinta,1
Ant,Introduced,Pinta,1
Ant,Introduced,Pinta,0
Ant,Introduced,Pinta,0
Ant,Introduced,Pinta,0
Ant,Introduced,Pinta,0
Ant,Introduced,Pinta,2
Ant,Introduced,Pinta,0
Ant,Endemic,Pinta,0
Ant,Endemic,Pinta,0
Ant,Endemic,Pinta,0
Ant,Introduced,Santiago,0
Ant,Introduced,Santiago,0
Ant,Introduced,Santiago,0
Ant,Introduced,Santiago,0
Ant,Introduced,Santiago,58
Ant,Introduced,Santiago,0
Ant,Introduced,Santiago,0
Ant,Introduced,Santiago,0
Ant,Introduced,Santiago,0
Ant,Introduced,Santiago,0
Ant,Introduced,Santiago,1
Ant,Introduced,Santiago,0
Ant,Introduced,Santiago,3
Ant,Introduced,Santiago,0
Ant,Endemic,Santiago,0
Ant,Endemic,Santiago,0
Ant,Endemic,Santiago,0
Ant,Introduced,San_Cristobal,26
Ant,Introduced,San_Cristobal,73
Ant,Introduced,San_Cristobal,1
Ant,Introduced,San_Cristobal,10
Ant,Introduced,San_Cristobal,0
Ant,Introduced,San_Cristobal,34
Ant,Introduced,San_Cristobal,0
Ant,Introduced,San_Cristobal,0
Ant,Introduced,San_Cristobal,0
Ant,Introduced,San_Cristobal,0
Ant,Introduced,San_Cristobal,53
Ant,Introduced,San_Cristobal,3
Ant,Introduced,San_Cristobal,33
Ant,Introduced,San_Cristobal,1
Ant,Endemic,San_Cristobal,0
Ant,Endemic,San_Cristobal,90
Ant,Endemic,San_Cristobal,0
Ant,Introduced,Santa_Cruz,18
Ant,Introduced,Santa_Cruz,91
Ant,Introduced,Santa_Cruz,0
Ant,Introduced,Santa_Cruz,0
Ant,Introduced,Santa_Cruz,0
Ant,Introduced,Santa_Cruz,64
Ant,Introduced,Santa_Cruz,0
Ant,Introduced,Santa_Cruz,0
Ant,Introduced,Santa_Cruz,0
Ant,Introduced,Santa_Cruz,0
Ant,Introduced,Santa_Cruz,61
Ant,Introduced,Santa_Cruz,0
Ant,Introduced,Santa_Cruz,54
Ant,Introduced,Santa_Cruz,0
Ant,Endemic,Santa_Cruz,0
Ant,Endemic,Santa_Cruz,16
Ant,Endemic,Santa_Cruz,0
Plant,Introduced,Fernandina,2
Plant,Introduced,Fernandina,0
Plant,Introduced,Fernandina,0
Plant,Introduced,Fernandina,0
Plant,Introduced,Fernandina,0
Plant,Introduced,Fernandina,3
Plant,Introduced,Fernandina,0
Plant,Introduced,Fernandina,0
Plant,Introduced,Fernandina,0
Plant,Introduced,Fernandina,0
Plant,Introduced,Fernandina,0
Plant,Introduced,Fernandina,0
Plant,Introduced,Fernandina,0
Plant,Introduced,Fernandina,24
Plant,Introduced,Fernandina,0
Plant,Introduced,Fernandina,0
Plant,Introduced,Fernandina,0
Plant,Introduced,Fernandina,4
Plant,Introduced,Fernandina,0
Plant,Introduced,Fernandina,0
Plant,Introduced,Fernandina,13
Plant,Endemic,Fernandina,6
Plant,Endemic,Fernandina,0
Plant,Endemic,Fernandina,1
Plant,Endemic,Fernandina,0
Plant,Endemic,Fernandina,8
Plant,Endemic,Fernandina,0
Plant,Endemic,Fernandina,9
Plant,Endemic,Fernandina,0
Plant,Endemic,Fernandina,0
Plant,Endemic,Fernandina,3
Plant,Endemic,Fernandina,0
Plant,Endemic,Fernandina,3
Plant,Endemic,Fernandina,0
Plant,Endemic,Fernandina,0
Plant,Endemic,Fernandina,0
Plant,Endemic,Fernandina,0
Plant,Introduced,Pinta,4
Plant,Introduced,Pinta,0
Plant,Introduced,Pinta,0
Plant,Introduced,Pinta,0
Plant,Introduced,Pinta,0
Plant,Introduced,Pinta,0
Plant,Introduced,Pinta,0
Plant,Introduced,Pinta,53
Plant,Introduced,Pinta,0
Plant,Introduced,Pinta,0
Plant,Introduced,Pinta,0
Plant,Introduced,Pinta,0
Plant,Introduced,Pinta,0
Plant,Introduced,Pinta,0
Plant,Introduced,Pinta,0
Plant,Introduced,Pinta,0
Plant,Introduced,Pinta,0
Plant,Introduced,Pinta,0
Plant,Introduced,Pinta,0
Plant,Introduced,Pinta,0
Plant,Introduced,Pinta,1
Plant,Endemic,Pinta,0
Plant,Endemic,Pinta,1
Plant,Endemic,Pinta,0
Plant,Endemic,Pinta,0
Plant,Endemic,Pinta,0
Plant,Endemic,Pinta,2
Plant,Endemic,Pinta,0
Plant,Endemic,Pinta,0
Plant,Endemic,Pinta,4
Plant,Endemic,Pinta,0
Plant,Endemic,Pinta,0
Plant,Endemic,Pinta,0
Plant,Endemic,Pinta,0
Plant,Endemic,Pinta,0
Plant,Endemic,Pinta,0
Plant,Endemic,Pinta,0
Plant,Introduced,Santiago,0
Plant,Introduced,Santiago,0
Plant,Introduced,Santiago,0
Plant,Introduced,Santiago,0
Plant,Introduced,Santiago,3
Plant,Introduced,Santiago,0
Plant,Introduced,Santiago,1
Plant,Introduced,Santiago,0
Plant,Introduced,Santiago,0
Plant,Introduced,Santiago,0
Plant,Introduced,Santiago,3
Plant,Introduced,Santiago,0
Plant,Introduced,Santiago,1
Plant,Introduced,Santiago,0
Plant,Introduced,Santiago,0
Plant,Introduced,Santiago,1
Plant,Introduced,Santiago,0
Plant,Introduced,Santiago,44
Plant,Introduced,Santiago,0
Plant,Introduced,Santiago,0
Plant,Introduced,Santiago,0
Plant,Endemic,Santiago,0
Plant,Endemic,Santiago,0
Plant,Endemic,Santiago,0
Plant,Endemic,Santiago,0
Plant,Endemic,Santiago,0
Plant,Endemic,Santiago,0
Plant,Endemic,Santiago,0
Plant,Endemic,Santiago,0
Plant,Endemic,Santiago,0
Plant,Endemic,Santiago,0
Plant,Endemic,Santiago,0
Plant,Endemic,Santiago,0
Plant,Endemic,Santiago,0
Plant,Endemic,Santiago,0
Plant,Endemic,Santiago,8
Plant,Endemic,Santiago,1
Plant,Introduced,San_Cristobal,0
Plant,Introduced,San_Cristobal,0
Plant,Introduced,San_Cristobal,0
Plant,Introduced,San_Cristobal,0
Plant,Introduced,San_Cristobal,0
Plant,Introduced,San_Cristobal,0
Plant,Introduced,San_Cristobal,5
Plant,Introduced,San_Cristobal,0
Plant,Introduced,San_Cristobal,9
Plant,Introduced,San_Cristobal,28
Plant,Introduced,San_Cristobal,0
Plant,Introduced,San_Cristobal,0
Plant,Introduced,San_Cristobal,0
Plant,Introduced,San_Cristobal,0
Plant,Introduced,San_Cristobal,10
Plant,Introduced,San_Cristobal,0
Plant,Introduced,San_Cristobal,0
Plant,Introduced,San_Cristobal,0
Plant,Introduced,San_Cristobal,117
Plant,Introduced,San_Cristobal,7
Plant,Introduced,San_Cristobal,7
Plant,Endemic,San_Cristobal,0
Plant,Endemic,San_Cristobal,28
Plant,Endemic,San_Cristobal,0
Plant,Endemic,San_Cristobal,63
Plant,Endemic,San_Cristobal,10
Plant,Endemic,San_Cristobal,9
Plant,Endemic,San_Cristobal,0
Plant,Endemic,San_Cristobal,0
Plant,Endemic,San_Cristobal,0
Plant,Endemic,San_Cristobal,0
Plant,Endemic,San_Cristobal,8
Plant,Endemic,San_Cristobal,0
Plant,Endemic,San_Cristobal,19
Plant,Endemic,San_Cristobal,0
Plant,Endemic,San_Cristobal,0
Plant,Endemic,San_Cristobal,4
Plant,Introduced,Santa_Cruz,0
Plant,Introduced,Santa_Cruz,24
Plant,Introduced,Santa_Cruz,3
Plant,Introduced,Santa_Cruz,4
Plant,Introduced,Santa_Cruz,0
Plant,Introduced,Santa_Cruz,0
Plant,Introduced,Santa_Cruz,47
Plant,Introduced,Santa_Cruz,21
Plant,Introduced,Santa_Cruz,0
Plant,Introduced,Santa_Cruz,11
Plant,Introduced,Santa_Cruz,4
Plant,Introduced,Santa_Cruz,10
Plant,Introduced,Santa_Cruz,22
Plant,Introduced,Santa_Cruz,0
Plant,Introduced,Santa_Cruz,0
Plant,Introduced,Santa_Cruz,0
Plant,Introduced,Santa_Cruz,1
Plant,Introduced,Santa_Cruz,14
Plant,Introduced,Santa_Cruz,0
Plant,Introduced,Santa_Cruz,0
Plant,Introduced,Santa_Cruz,0
Plant,Endemic,Santa_Cruz,0
Plant,Endemic,Santa_Cruz,75
Plant,Endemic,Santa_Cruz,0
Plant,Endemic,Santa_Cruz,0
Plant,Endemic,Santa_Cruz,0
Plant,Endemic,Santa_Cruz,11
Plant,Endemic,Santa_Cruz,0
Plant,Endemic,Santa_Cruz,6
Plant,Endemic,Santa_Cruz,0
Plant,Endemic,Santa_Cruz,0
Plant,Endemic,Santa_Cruz,4
Plant,Endemic,Santa_Cruz,0
Plant,Endemic,Santa_Cruz,8
Plant,Endemic,Santa_Cruz,7
Plant,Endemic,Santa_Cruz,1
Plant,Endemic,Santa_Cruz,31
